category,part of speech,ojibwe word,definition,url
verb,vai,babaamanokii,s/he works around,https://ojibwe.lib.umn.edu/main-entry/babaamanokii-vai
verb,vai,babaamanookii,s/he goes around hiring people,https://ojibwe.lib.umn.edu/main-entry/babaamanookii-vai
verb,vai,babaamanoozo,s/he goes about smoking tobacco,https://ojibwe.lib.umn.edu/main-entry/babaamanoozo-vai
verb,vii,babaamaabate,it (smoke) goes about,https://ojibwe.lib.umn.edu/main-entry/babaamaabate-vii
verb,vta,babaamaabiigin,lead h/ around on a leash or line,https://ojibwe.lib.umn.edu/main-entry/babaamaabiigin-vta
verb,vii,babaamaaboode,it drifts about on the current,https://ojibwe.lib.umn.edu/main-entry/babaamaaboode-vii
verb,vai,babaamaaboozo,s/he or it (animate) drifts about on the current,https://ojibwe.lib.umn.edu/main-entry/babaamaaboozo-vai
verb,vti,babaamaadaga'oodoon,"pull, tow it about through the water",https://ojibwe.lib.umn.edu/main-entry/babaamaadaga-oodoon-vti
verb,vai,babaamaadagaa,s/he swims about,https://ojibwe.lib.umn.edu/main-entry/babaamaadagaa-vai
verb,vai,babaamaadagaako,s/he goes about on the ice,https://ojibwe.lib.umn.edu/main-entry/babaamaadagaako-vai
verb,vai,babaamaadagaakobatoo,"s/he runs about on the ice, around on the ice",https://ojibwe.lib.umn.edu/main-entry/babaamaadagaakobatoo-vai
verb,vai,babaamaadagaazii,s/he wades about,https://ojibwe.lib.umn.edu/main-entry/babaamaadagaazii-vai
verb,vai,babaamaadage,s/he swims about,https://ojibwe.lib.umn.edu/main-entry/babaamaadage-vai
verb,vai,babaamaada'e,s/he skates about,https://ojibwe.lib.umn.edu/main-entry/babaamaada-e-vai
verb,vai,babaamaada'ookii,"s/he distributes things around, passes things around",https://ojibwe.lib.umn.edu/main-entry/babaamaada-ookii-vai
verb,vai,babaamaadizi,s/he lives about; s/he travels about,https://ojibwe.lib.umn.edu/main-entry/babaamaadizi-vai
noun,ni,babaamaadizii-makak,a suitcase,https://ojibwe.lib.umn.edu/main-entry/babaamaadizii-makak-ni
verb,vai,babaamaagime,s/he snowshoes about,https://ojibwe.lib.umn.edu/main-entry/babaamaagime-vai
verb,vai,babaamaagimebatoo,s/he runs about in snowshoes,https://ojibwe.lib.umn.edu/main-entry/babaamaagimebatoo-vai
verb,vai,babaamaagimose,s/he snowshoes about,https://ojibwe.lib.umn.edu/main-entry/babaamaagimose-vai
verb,vai,babaamaagiwebishkige,"s/he bicycles about or around, rides about or around on a bicycle",https://ojibwe.lib.umn.edu/main-entry/babaamaagiwebishkige-vai
verb,vai,babaamaagonagii,s/he goes about in the snow,https://ojibwe.lib.umn.edu/main-entry/babaamaagonagii-vai
verb,vai,babaamaagone,s/he goes around through the snow,https://ojibwe.lib.umn.edu/main-entry/babaamaagone-vai
verb,vai,babaamaagonebizo,s/he drives around in the snow,https://ojibwe.lib.umn.edu/main-entry/babaamaagonebizo-vai
verb,vai,babaamaa'ago,s/he or it (animate) drifts about or around on the waves,https://ojibwe.lib.umn.edu/main-entry/babaamaa-ago-vai
verb,vii,babaamaa'an,it drifts about or around on the waves,https://ojibwe.lib.umn.edu/main-entry/babaamaa-an-vii
verb,vai,babaamaa'ogo,s/he or it (animate) drifts about or around on the waves,https://ojibwe.lib.umn.edu/main-entry/babaamaa-ogo-vai
verb,vai,babaamaajimo,s/he spreads the news about,https://ojibwe.lib.umn.edu/main-entry/babaamaajimo-vai
noun,ni,babaamaajimoo-mazina'igan,a newspaper,https://ojibwe.lib.umn.edu/main-entry/babaamaajimoo-mazina-igan-ni
verb,vai,babaamaakwii,s/he goes about in the woods,https://ojibwe.lib.umn.edu/main-entry/babaamaakwii-vai
verb,vii,babaamaanakwad,clouds go about,https://ojibwe.lib.umn.edu/main-entry/babaamaanakwad-vii
verb,vti,babaamaandawaadan,climb about on it,https://ojibwe.lib.umn.edu/main-entry/babaamaandawaadan-vti
verb,vta,babaamaandawaazh,climb about on h/,https://ojibwe.lib.umn.edu/main-entry/babaamaandawaazh-vta
verb,vai,babaamaandawe,s/he climbs about,https://ojibwe.lib.umn.edu/main-entry/babaamaandawe-vai
verb,vai,babaamaandawebatoo,s/he climbs around quickly,https://ojibwe.lib.umn.edu/main-entry/babaamaandawebatoo-vai
verb,vai,babaamaanimizi,s/he goes about in fear,https://ojibwe.lib.umn.edu/main-entry/babaamaanimizi-vai
verb,vai,babaamaapi,s/he goes around laughing,https://ojibwe.lib.umn.edu/main-entry/babaamaapi-vai
verb,vii,babaamaasin,"it is blown about (by the wind); it sails, soars about",https://ojibwe.lib.umn.edu/main-entry/babaamaasin-vii
verb,vai,babaamaashi,"s/he is blown about (by the wind); sails, soars about",https://ojibwe.lib.umn.edu/main-entry/babaamaashi-vai
noun,na,babaamaashiiwinini,a sailor,https://ojibwe.lib.umn.edu/main-entry/babaamaashiiwinini-na
verb,vti2,babaamaawadoon,haul it about,https://ojibwe.lib.umn.edu/main-entry/babaamaawadoon-vti2
verb,vai,babaamaawanidiwag,s/he travels around in a group,https://ojibwe.lib.umn.edu/main-entry/babaamaawanidiwag-vai
verb,vta,babaamaawazh,haul h/ around; guide h/ around,https://ojibwe.lib.umn.edu/main-entry/babaamaawazh-vta
verb,vai,babaamaazhagaame,s/he goes around on the shore,https://ojibwe.lib.umn.edu/main-entry/babaamaazhagaame-vai
verb,vai,babaamaazakonenjige,s/he goes about with a light,https://ojibwe.lib.umn.edu/main-entry/babaamaazakonenjige-vai
verb,vai2,babaamendam,"s/he pays attention, worries",https://ojibwe.lib.umn.edu/main-entry/babaamendam-vai2
verb,vti,babaamendan,"pay attention to, be preoccupied with, worry about, bother it",https://ojibwe.lib.umn.edu/main-entry/babaamendan-vti
verb,vta,babaamenim,"pay attention to, worry about, be preoccupied with, bother h/",https://ojibwe.lib.umn.edu/main-entry/babaamenim-vta
verb,vai,babaamiba'idiwag,"they run about together, run around together",https://ojibwe.lib.umn.edu/main-entry/babaamiba-idiwag-vai
verb,vai,babaamiba'igo,"s/he rides about, drives about (drawn by horse or dog)",https://ojibwe.lib.umn.edu/main-entry/babaamiba-igo-vai
verb,vai,babaamibatoo,"s/he runs about, runs around",https://ojibwe.lib.umn.edu/main-entry/babaamibatoo-vai
verb,vti,babaamibatwaadan,"run about, run around with it",https://ojibwe.lib.umn.edu/main-entry/babaamibatwaadan-vti
verb,vta,babaamibatwaazh,"run about, run around with h/",https://ojibwe.lib.umn.edu/main-entry/babaamibatwaazh-vta
verb,vii,babaamibide,"it speeds about, drives about, flies about",https://ojibwe.lib.umn.edu/main-entry/babaamibide-vii
verb,vai,babaamibizo,"s/he speeds about, drives about, flies about",https://ojibwe.lib.umn.edu/main-entry/babaamibizo-vai
verb,vta,babaamibizo',"drive h/, it (animate) about",https://ojibwe.lib.umn.edu/main-entry/babaamibizo-vta
verb,vta,babaamibizoni',drive h/ around,https://ojibwe.lib.umn.edu/main-entry/babaamibizoni-vta
verb,vti2,babaamibizonitoon,drive it about,https://ojibwe.lib.umn.edu/main-entry/babaamibizonitoon-vti2
verb,vti2,babaamibizotoon,drive it about,https://ojibwe.lib.umn.edu/main-entry/babaamibizotoon-vti2
verb,vii,babaamibiisaa,rain goes about,https://ojibwe.lib.umn.edu/main-entry/babaamibiisaa-vii
verb,vti,babaamidaabaadan,"drag, pull it about",https://ojibwe.lib.umn.edu/main-entry/babaamidaabaadan-vti
verb,vii,babaamidaabaade,"it is pulled, pushed, or dragged about (on something)",https://ojibwe.lib.umn.edu/main-entry/babaamidaabaade-vii
verb,vta,babaamidaabaazh,"drag, pull h/ about",https://ojibwe.lib.umn.edu/main-entry/babaamidaabaazh-vta
verb,vai,babaamidaabaazo,"s/he is pulled, pushed, or dragged about (on something)",https://ojibwe.lib.umn.edu/main-entry/babaamidaabaazo-vai
verb,vai,babaamidaabii,"s/he drags, pulls a load about",https://ojibwe.lib.umn.edu/main-entry/babaamidaabii-vai
verb,vai,babaamidaabii'iwe,s/he drives about,https://ojibwe.lib.umn.edu/main-entry/babaamidaabii-iwe-vai
verb,vai,babaamigamigwe,s/he wanders around the community visitiing,https://ojibwe.lib.umn.edu/main-entry/babaamigamigwe-vai
verb,vai,babaamigidaazo,"s/he goes about angry, goes about mad",https://ojibwe.lib.umn.edu/main-entry/babaamigidaazo-vai
verb,vai,babaamigozi,s/he moves h/ residence about,https://ojibwe.lib.umn.edu/main-entry/babaamigozi-vai
verb,vai,babaamikawe,s/he leaves tracks going about,https://ojibwe.lib.umn.edu/main-entry/babaamikawe-vai
verb,vti,babaaminigaadan,carry it around on the shoulder,https://ojibwe.lib.umn.edu/main-entry/babaaminigaadan-vti
verb,vta,babaaminigaazh,carry h/ about on the shoulder,https://ojibwe.lib.umn.edu/main-entry/babaaminigaazh-vta
verb,vai,babaaminige,s/he carries about on the shoulder,https://ojibwe.lib.umn.edu/main-entry/babaaminige-vai
verb,vta,babaaminizha',chase h/ about,https://ojibwe.lib.umn.edu/main-entry/babaaminizha-vta
verb,vti,babaaminizha'an,chase it about,https://ojibwe.lib.umn.edu/main-entry/babaaminizha-an-vti
verb,vai,babaaminizha'ige,s/he chases things about,https://ojibwe.lib.umn.edu/main-entry/babaaminizha-ige-vai
verb,vta,babaaminizhikaw,chase h/ about,https://ojibwe.lib.umn.edu/main-entry/babaaminizhikaw-vta
verb,vai,babaaminizhikaage,s/he chases people about,https://ojibwe.lib.umn.edu/main-entry/babaaminizhikaage-vai
verb,vai,babaaminizhikodaadiwag,they chase each other about,https://ojibwe.lib.umn.edu/main-entry/babaaminizhikodaadiwag-vai
verb,vai,babaaminizhimo,"s/he goes around in flight, runs around in fear",https://ojibwe.lib.umn.edu/main-entry/babaaminizhimo-vai
verb,vii,babaamipon,snow goes about,https://ojibwe.lib.umn.edu/main-entry/babaamipon-vii
verb,vai,babaamise,s/he flies about,https://ojibwe.lib.umn.edu/main-entry/babaamise-vai
verb,vii,babaamise,it flies about,https://ojibwe.lib.umn.edu/main-entry/babaamise-vii
verb,vai,babaamishimo,s/he dances about,https://ojibwe.lib.umn.edu/main-entry/babaamishimo-vai
verb,vai,babaamishkaa,"s/he paddles about,  goes about in a boat",https://ojibwe.lib.umn.edu/main-entry/babaamishkaa-vai
verb,vai,babaamiwane,s/he carries a pack about,https://ojibwe.lib.umn.edu/main-entry/babaamiwane-vai
verb,vti,babaamiweba'an,"shove, knock it around (using something)",https://ojibwe.lib.umn.edu/main-entry/babaamiweba-an-vti
noun,ni,babaamiweba'igan,a hockey puck,https://ojibwe.lib.umn.edu/main-entry/babaamiweba-igan-ni
verb,vti,babaamiwebishkan,"kick it about, shoves it about",https://ojibwe.lib.umn.edu/main-entry/babaamiwebishkan-vti
verb,vai,babaamiwebishkige,s/he kicks something about; s/he plays soccer,https://ojibwe.lib.umn.edu/main-entry/babaamiwebishkige-vai
verb,vti2,babaamiwidoon,"take, carry it about",https://ojibwe.lib.umn.edu/main-entry/babaamiwidoon-vti2
verb,vii,babaamiwijigaade,"it is carried, taken around (by someone), ""they"" carry, take it about",https://ojibwe.lib.umn.edu/main-entry/babaamiwijigaade-vii
verb,vta,babaamiwizh,"take, carry, guide h/ about",https://ojibwe.lib.umn.edu/main-entry/babaamiwizh-vta
verb,vai,babaamizi,"s/he does business, goes about on his business",https://ojibwe.lib.umn.edu/main-entry/babaamizi-vai
noun,ni,babaamiziwin,business; responsibility,https://ojibwe.lib.umn.edu/main-entry/babaamiziwin-ni
noun,ni,babaamizii-mashkimod,a briefcase,https://ojibwe.lib.umn.edu/main-entry/babaamizii-mashkimod-ni
noun,ni,babaamiziiwayaan,a business suit,https://ojibwe.lib.umn.edu/main-entry/babaamiziiwayaan-ni
noun,na,babaamiziiwinini,a businessman,https://ojibwe.lib.umn.edu/main-entry/babaamiziiwinini-na
verb,vai,babaamose,"s/he walks about, takes a stroll",https://ojibwe.lib.umn.edu/main-entry/babaamose-vai
verb,vai,babaamoode,"s/he crawls about, crawls around",https://ojibwe.lib.umn.edu/main-entry/babaamoode-vai
verb,vai,babaamoodebatoo,s/he crawls about fast,https://ojibwe.lib.umn.edu/main-entry/babaamoodebatoo-vai
verb,vta,babaamoom,carry h/ about on h/ back,https://ojibwe.lib.umn.edu/main-entry/babaamoom-vta
verb,vai,babaamoomaawaso,s/he carries a baby around on h/ back,https://ojibwe.lib.umn.edu/main-entry/babaamoomaawaso-vai
verb,vai,babaamoomigo,s/he rides about on horseback,https://ojibwe.lib.umn.edu/main-entry/babaamoomigo-vai
verb,vti,babaamoondan,carry it about on h/ back,https://ojibwe.lib.umn.edu/main-entry/babaamoondan-vti
verb,vai,babaamweweba'idiwag,they are heard running about together,https://ojibwe.lib.umn.edu/main-entry/babaamweweba-idiwag-vai
verb,vai,babaamwewebatoo,"s/he is heard running about, heard running around",https://ojibwe.lib.umn.edu/main-entry/babaamwewebatoo-vai
verb,vai,babaamwewebizo,"s/he is heard speeding, driving, flying about",https://ojibwe.lib.umn.edu/main-entry/babaamwewebizo-vai
verb,vai,babaamwewesagibatoo,s/he is heard running around on the floor,https://ojibwe.lib.umn.edu/main-entry/babaamwewesagibatoo-vai
verb,vai,babaamwewesagidaabii,"s/he, it (animate) is heard dragging something around on the floor",https://ojibwe.lib.umn.edu/main-entry/babaamwewesagidaabii-vai
verb,vai,babaamweweshin,s/he is heard walking about,https://ojibwe.lib.umn.edu/main-entry/babaamweweshin-vai
verb,vai,babaamweweyaadagaa,s/he is heard swimming about,https://ojibwe.lib.umn.edu/main-entry/babaamweweyaadagaa-vai
verb,vai,babaamweweyaadagaako,s/he is heard going about on the ice,https://ojibwe.lib.umn.edu/main-entry/babaamweweyaadagaako-vai
verb,vai,babaamweweyaadagaazii,s/he is heard wading around,https://ojibwe.lib.umn.edu/main-entry/babaamweweyaadagaazii-vai
verb,vai,babaamweweyaadage,s/he is heard swimming about,https://ojibwe.lib.umn.edu/main-entry/babaamweweyaadage-vai
verb,vai,babaamweweyaashi,"s/he is heard flying, soaring, sailing about",https://ojibwe.lib.umn.edu/main-entry/babaamweweyaashi-vai
verb,vii,babegikaadad,it is slow,https://ojibwe.lib.umn.edu/main-entry/babegikaadad-vii
verb,vai,babegikaadawinzo,s/he picks berries slowly,https://ojibwe.lib.umn.edu/main-entry/babegikaadawinzo-vai
verb,vai,babegikaadaanagidoone,s/he talks slow,https://ojibwe.lib.umn.edu/main-entry/babegikaadaanagidoone-vai
verb,vai2,babegikaadendam,"s/he thinks slowly, is slow in mental activity",https://ojibwe.lib.umn.edu/main-entry/babegikaadendam-vai2
verb,vai,babegikaadizi,s/he is real slow; s/he is pokey,https://ojibwe.lib.umn.edu/main-entry/babegikaadizi-vai
adverb,adv-tmp,babenag,"a little better, a little more, improving",https://ojibwe.lib.umn.edu/main-entry/babenag-adv-tmp
noun,na,babig,a flea,https://ojibwe.lib.umn.edu/main-entry/babig-na
verb,vii,babigozigwaa,there is bumpy ice,https://ojibwe.lib.umn.edu/main-entry/babigozigwaa-vii
noun,ni,babigwan,a flute,https://ojibwe.lib.umn.edu/main-entry/babigwan-ni
verb,vai,babigwanagekozi,it (animate) has rough bunpy  bark,https://ojibwe.lib.umn.edu/main-entry/babigwanagekozi-vai
verb,vii,babigwanagekwad,it has rough bumpy bark,https://ojibwe.lib.umn.edu/main-entry/babigwanagekwad-vii
noun,ni,babigwanwi,marked shot of moccasin game,https://ojibwe.lib.umn.edu/main-entry/babigwanwi-ni
verb,vii,babigwaabikad,"it (mineral) is bumpy, is lumpy",https://ojibwe.lib.umn.edu/main-entry/babigwaabikad-vii
verb,vai,babigwaabikizi,"it (animate; mineral) is bumpy, is lumpy",https://ojibwe.lib.umn.edu/main-entry/babigwaabikizi-vai
verb,vii,babigwaagamin,it (a liquid) is lumpy,https://ojibwe.lib.umn.edu/main-entry/babigwaagamin-vii
verb,vii,babigwegad,"it (sheet-like) is bumpy, is lumpy",https://ojibwe.lib.umn.edu/main-entry/babigwegad-vii
verb,vai,babigwegizi,"it (animate; sheet-like) is bumpy, is lumpy",https://ojibwe.lib.umn.edu/main-entry/babigwegizi-vai
verb,vai,babima'adoo,s/he keeps following a trail along,https://ojibwe.lib.umn.edu/main-entry/babima-adoo-vai
verb,vta,babima'azh,"keep tracking h/ along, keep following h/ trail along",https://ojibwe.lib.umn.edu/main-entry/babima-azh-vta
verb,vai,babimaadagaa,s/he swims around here and there,https://ojibwe.lib.umn.edu/main-entry/babimaadagaa-vai
verb,vai,babimaadizi,s/he keeps living,https://ojibwe.lib.umn.edu/main-entry/babimaadizi-vai
verb,vai,babimaazhagaame,s/he goes along on the shore or edge of something,https://ojibwe.lib.umn.edu/main-entry/babimaazhagaame-vai
verb,vii,babimibiisaa,"rain keeps going along, rain squalls pass by",https://ojibwe.lib.umn.edu/main-entry/babimibiisaa-vii
verb,vai,babimose,"s/he walks about, takes a stroll",https://ojibwe.lib.umn.edu/main-entry/babimose-vai
verb,vai,babimoode,s/he crawls about here and there,https://ojibwe.lib.umn.edu/main-entry/babimoode-vai
verb,vai2,babizindam,"s/he keeps listening, listens off and on",https://ojibwe.lib.umn.edu/main-entry/babizindam-vai2
verb,vta,babizindaw,listen to h/ paying close attention,https://ojibwe.lib.umn.edu/main-entry/babizindaw-vta
verb,vai,babizindaadiwag,they keep listening to each other,https://ojibwe.lib.umn.edu/main-entry/babizindaadiwag-vai
verb,vti,babizowebishkan,keep tripping on it,https://ojibwe.lib.umn.edu/main-entry/babizowebishkan-vti
verb,vai,babiichii,s/he puts on h/ moccasins or shoes,https://ojibwe.lib.umn.edu/main-entry/babiichii-vai
noun,na,babiikoga'waan,a sleigh with runners,https://ojibwe.lib.umn.edu/main-entry/babiikoga-waan-na
verb,vii,babiikwadamon,it is a bumpy road,https://ojibwe.lib.umn.edu/main-entry/babiikwadamon-vii
verb,vii,babiikwadaasin,there are snow drifts,https://ojibwe.lib.umn.edu/main-entry/babiikwadaasin-vii
verb,vii,babiikwadaawangaa,there are sand dunes,https://ojibwe.lib.umn.edu/main-entry/babiikwadaawangaa-vii
verb,vii,babiikwadaawangaa'an,there are sand dunes formed by waves,https://ojibwe.lib.umn.edu/main-entry/babiikwadaawangaa-an-vii
verb,vii,babiikwadaawangaasin,there are sand dunes,https://ojibwe.lib.umn.edu/main-entry/babiikwadaawangaasin-vii
verb,vii,babiikwadinaa,there are hills here and there,https://ojibwe.lib.umn.edu/main-entry/babiikwadinaa-vii
verb,vii,babiikwakamigaa,"it is rolling ground, bumpy ground",https://ojibwe.lib.umn.edu/main-entry/babiikwakamigaa-vii
noun,na,babiikwasin,a boulder,https://ojibwe.lib.umn.edu/main-entry/babiikwasin-na
verb,vii,babiikwashkiigaa,it is a hummocky musekg,https://ojibwe.lib.umn.edu/main-entry/babiikwashkiigaa-vii
verb,vai,babiikwashkoozo,it (a net) knots up,https://ojibwe.lib.umn.edu/main-entry/babiikwashkoozo-vai
verb,vii,babiikwaabiigad,"it (string-like) has knots, has lumps on it",https://ojibwe.lib.umn.edu/main-entry/babiikwaabiigad-vii
verb,vai,babiikwaabiigizi,"it (animate; string-like) has knots, has lumps on it",https://ojibwe.lib.umn.edu/main-entry/babiikwaabiigizi-vai
verb,vii,babiikwaadigose,there are riffles (ruffles) in the flowing water,https://ojibwe.lib.umn.edu/main-entry/babiikwaadigose-vii
verb,vta,babiikwaakwadwaagonagin,make h/ (snow) into snowballs,https://ojibwe.lib.umn.edu/main-entry/babiikwaakwadwaagonagin-vta
verb,vii,babiikwaanakwad,it is a cumulus cloud,https://ojibwe.lib.umn.edu/main-entry/babiikwaanakwad-vii
verb,vii,babiikwaanakwad,it is a cumulus cloud,https://ojibwe.lib.umn.edu/main-entry/babiikwaanakwad-vii
verb,vii,babiikwaanaamikaa,the bottom (of a body of water) is rough and bumpy,https://ojibwe.lib.umn.edu/main-entry/babiikwaanaamikaa-vii
verb,vai,babiikwaanikwe'o,s/he combs h/ hair in a wave or waves,https://ojibwe.lib.umn.edu/main-entry/babiikwaanikwe-o-vai
verb,vai,babiimwaagone'idiwag,they have a snowball fight,https://ojibwe.lib.umn.edu/main-entry/babiimwaagone-idiwag-vai
verb,vai2,babiinitam,"s/he doesn't listen, doesn't follow instructions, disregards or disobers instructions",https://ojibwe.lib.umn.edu/main-entry/babiinitam-vai2
verb,vta,babiinitaw,"don't follow h/ instructions, disregard or disobey h/ instructions",https://ojibwe.lib.umn.edu/main-entry/babiinitaw-vta
noun,ni,babiinzikawaagan,"a coat, a jacket",https://ojibwe.lib.umn.edu/main-entry/babiinzikawaagan-ni
verb,vti,babiisibii'an,"write it small, draw it small",https://ojibwe.lib.umn.edu/main-entry/babiisibii-an-vti
verb,vai,babiisibii'ige,s/he writes small,https://ojibwe.lib.umn.edu/main-entry/babiisibii-ige-vai
verb,vii,babiisibiisaa,"there is light rain, drizzle; it is drizzling",https://ojibwe.lib.umn.edu/main-entry/babiisibiisaa-vii
verb,vai,babiiskijiitaa,"s/he bends, folds, flexes h/ body repeatedly",https://ojibwe.lib.umn.edu/main-entry/babiiskijiitaa-vai
verb,vai,babiiskinikeni,"s/he bends, flexes h/ arms",https://ojibwe.lib.umn.edu/main-entry/babiiskinikeni-vai
verb,vai,babiitaakodoondaneshin,s/he keeps hitting h/ heels on it (stick-like) accidentally,https://ojibwe.lib.umn.edu/main-entry/babiitaakodoondaneshin-vai
verb,vai,babiiwanowe,s/he has tiny cheeks,https://ojibwe.lib.umn.edu/main-entry/babiiwanowe-vai
verb,vai,babiiwaabide,s/he has tiny teeth,https://ojibwe.lib.umn.edu/main-entry/babiiwaabide-vai
verb,vai,babiiwaakoziwag,they (animate; stick-like) are small,https://ojibwe.lib.umn.edu/main-entry/babiiwaakoziwag-vai
verb,vii,babiiwaakwadoon,they (stick-like) are small,https://ojibwe.lib.umn.edu/main-entry/babiiwaakwadoon-vii
verb,vii,babiiwaawan,they are tiny,https://ojibwe.lib.umn.edu/main-entry/babiiwaawan-vii
verb,vii,babiiwiminagadoon,they are tiny (as something ball-like),https://ojibwe.lib.umn.edu/main-entry/babiiwiminagadoon-vii
verb,vai,babiiwiminagiziwag,they are tiny (as something ball-like),https://ojibwe.lib.umn.edu/main-entry/babiiwiminagiziwag-vai
verb,vai,babiiwinike,s/he has small arms; s/he has thin arms,https://ojibwe.lib.umn.edu/main-entry/babiiwinike-vai
verb,vai,babiiwininjii,s/he has tiny hands,https://ojibwe.lib.umn.edu/main-entry/babiiwininjii-vai
verb,vai,babiiwishkiinzhigwe,s/he has small eyes,https://ojibwe.lib.umn.edu/main-entry/babiiwishkiinzhigwe-vai
verb,vai,babiiwitawage,s/he has tiny ears,https://ojibwe.lib.umn.edu/main-entry/babiiwitawage-vai
verb,vai,babiiwizide,s/he has tiny feet,https://ojibwe.lib.umn.edu/main-entry/babiiwizide-vai
verb,vai,babiiwizidekawe,s/he leaves tiny-footed tracks,https://ojibwe.lib.umn.edu/main-entry/babiiwizidekawe-vai
verb,vai,babiiwizhiinyiwag,they are tiny,https://ojibwe.lib.umn.edu/main-entry/babiiwizhiinyiwag-vai
verb,vta,babiizigaakiz,curl h/ hair (by heat),https://ojibwe.lib.umn.edu/main-entry/babiizigaakiz-vta
verb,vti,babiizigaakizan,curl it (by heat),https://ojibwe.lib.umn.edu/main-entry/babiizigaakizan-vti
noun,ni,babiizigaakizigan,a curling iron,https://ojibwe.lib.umn.edu/main-entry/babiizigaakizigan-ni
verb,vai,babiizigaakizige,h/ hair is curled (by heat),https://ojibwe.lib.umn.edu/main-entry/babiizigaakizige-vai
noun,ni,babiizigaakizigewigamig,"a beauty parlor, a hair dressing salon",https://ojibwe.lib.umn.edu/main-entry/babiizigaakizigewigamig-ni
noun,na,babiizigaakizigewikwe,a (female) hairdresser,https://ojibwe.lib.umn.edu/main-entry/babiizigaakizigewikwe-na
noun,na,babiizigaakizigewinini,a (male) hairdresser,https://ojibwe.lib.umn.edu/main-entry/babiizigaakizigewinini-na
verb,vai,babiizigaakizo,s/he curls h/ hair,https://ojibwe.lib.umn.edu/main-entry/babiizigaakizo-vai
noun,ni,babiizigaakizon,a curler,https://ojibwe.lib.umn.edu/main-entry/babiizigaakizon-ni
verb,vai,babiizigaanikwe,s/he has curly hair,https://ojibwe.lib.umn.edu/main-entry/babiizigaanikwe-vai
noun,ni,babiizigaanikweyaakizigan,a curling iron,https://ojibwe.lib.umn.edu/main-entry/babiizigaanikweyaakizigan-ni
verb,vai,babiizigaanikweyaakizige,"s/he curls hair, gives permanents",https://ojibwe.lib.umn.edu/main-entry/babiizigaanikweyaakizige-vai
noun,na,babiizigaanikweyaakizigekwe,a hairdresser (female),https://ojibwe.lib.umn.edu/main-entry/babiizigaanikweyaakizigekwe-na
verb,vai,babiizigaanikweyaakizo,s/he has h/ hair curled (by heat); s/he gets a pemanent,https://ojibwe.lib.umn.edu/main-entry/babiizigaanikweyaakizo-vai
verb,vta,babiizigaanikweyaakizwi,curl h/ hair (by heat); give h/ a permanent,https://ojibwe.lib.umn.edu/main-entry/babiizigaanikweyaakizwi-vta
verb,vai,babiizigindibe,s/he has curly hair,https://ojibwe.lib.umn.edu/main-entry/babiizigindibe-vai
verb,vii,babiizigishkaa,"it curls up, crinkles",https://ojibwe.lib.umn.edu/main-entry/babiizigishkaa-vii
verb,vai,babiizigitaagozi,s/he sounds hoarse; h/ voice is not clear,https://ojibwe.lib.umn.edu/main-entry/babiizigitaagozi-vai
verb,vai,babiizigitigwaane,s/he has curly hair,https://ojibwe.lib.umn.edu/main-entry/babiizigitigwaane-vai
verb,vai,babiizigizi,"it (animate) is curly, is curled, is crinkled",https://ojibwe.lib.umn.edu/main-entry/babiizigizi-vai
verb,vii,babiizigiigad,"it (sheet-like) is curled, is crinkled, is crumpled",https://ojibwe.lib.umn.edu/main-entry/babiizigiigad-vii
verb,vii,babiizigiigishkaa,"it (sheet-like) curls up, wrinkles",https://ojibwe.lib.umn.edu/main-entry/babiizigiigishkaa-vii
verb,vai,babiizigiigizi,"it (animate; sheet-like) is curled, is crinkled, is crumpled",https://ojibwe.lib.umn.edu/main-entry/babiizigiigizi-vai
verb,vai,babiizigwagazhe,babiizigwagazhe,https://ojibwe.lib.umn.edu/main-entry/babiizigwagazhe-vai
verb,vti,badagoshkan,"cover it with h/ body, lie protectively on it",https://ojibwe.lib.umn.edu/main-entry/badagoshkan-vti
verb,vta,badagoshkaw,"cover h/ with body, lie protectively on h/",https://ojibwe.lib.umn.edu/main-entry/badagoshkaw-vta
verb,vta,badagwana',cover h/,https://ojibwe.lib.umn.edu/main-entry/badagwana-vta
verb,vti,badagwana'an,cover it,https://ojibwe.lib.umn.edu/main-entry/badagwana-an-vti
noun,ni,badagwana'igan,"a cover, a tarpaulin",https://ojibwe.lib.umn.edu/main-entry/badagwana-igan-ni
verb,vii,badagwana'igaade,"it is covered (by someone), ""they"" cover it",https://ojibwe.lib.umn.edu/main-entry/badagwana-igaade-vii
verb,vai,badagwana'igaazo,"s/he is covered (by someone), ""they"" cover h/",https://ojibwe.lib.umn.edu/main-entry/badagwana-igaazo-vai
verb,vai,badagwana'ige,s/he covers things,https://ojibwe.lib.umn.edu/main-entry/badagwana-ige-vai
verb,vai,badagwiingweshin,s/he lies with h/ face covered,https://ojibwe.lib.umn.edu/main-entry/badagwiingweshin-vai
verb,vta,badaka',"stick  h/ with something sharp, prick h/, use a fork on h/give h/ an injection, a shot",https://ojibwe.lib.umn.edu/main-entry/badaka-vta
verb,vti,badaka'an,"stick it (with something sharp), prick it, use a fork on it",https://ojibwe.lib.umn.edu/main-entry/badaka-an-vti
noun,ni,badaka'igan,a fork,https://ojibwe.lib.umn.edu/main-entry/badaka-igan-ni
verb,vai,badaka'ige,"s/he sticks something in things, pricks things",https://ojibwe.lib.umn.edu/main-entry/badaka-ige-vai
