ojibwe word,part of speech,url,definition
aazhigidinan,vti,https://ojibwe.lib.umn.edu/main-entry/aazhigidinan-vti,turn it face up
aazhigidwebin,vta,https://ojibwe.lib.umn.edu/main-entry/aazhigidwebin-vta,throw h/ over backwards
aazhigidwebinan,vti,https://ojibwe.lib.umn.edu/main-entry/aazhigidwebinan-vti,throw it over backwards
aazhigidwebishkan,vti,https://ojibwe.lib.umn.edu/main-entry/aazhigidwebishkan-vti,kick it over face up
aazhigijibidoon,vti2,https://ojibwe.lib.umn.edu/main-entry/aazhigijibidoon-vti2,turn it face up
aazhigijibizh,vta,https://ojibwe.lib.umn.edu/main-entry/aazhigijibizh-vta,"pull h/ over on h/ back, turn h/ face up"
aazhigijise,vii,https://ojibwe.lib.umn.edu/main-entry/aazhigijise-vii,"it turns face up, falls face up"
aazhigijise,vai,https://ojibwe.lib.umn.edu/main-entry/aazhigijise-vai,"s/he turns face up, falls face up"
aazhigijisidoon,vti2,https://ojibwe.lib.umn.edu/main-entry/aazhigijisidoon-vti2,lay it over backwards; lay it face up
aazhigijisin,vii,https://ojibwe.lib.umn.edu/main-entry/aazhigijisin-vii,it falls over backwards; it lies face up
aazhigijishim,vta,https://ojibwe.lib.umn.edu/main-entry/aazhigijishim-vta,lay h/ over backwards; lay h/ face up
aazhigijishin,vai,https://ojibwe.lib.umn.edu/main-entry/aazhigijishin-vai,s/he falls over backwards; s/he lies face up
aazhigijiweba',vta,https://ojibwe.lib.umn.edu/main-entry/aazhigijiweba-vta,toss h/ upside down (using something forcefully)
aazhigijiiginige,vai,https://ojibwe.lib.umn.edu/main-entry/aazhigijiiginige-vai,s/he plays poker
aazikan,vti,https://ojibwe.lib.umn.edu/main-entry/aazikan-vti,"get there before it, beat it there"
aazikaw,vta,https://ojibwe.lib.umn.edu/main-entry/aazikaw-vta,"get there before h/, beat h/ there"
aazhikwe,vai,https://ojibwe.lib.umn.edu/main-entry/aazhikwe-vai,s/he screams
aazhogan,ni,https://ojibwe.lib.umn.edu/main-entry/aazhogan-ni,a bridge
aazhoganike,vai,https://ojibwe.lib.umn.edu/main-entry/aazhoganike-vai,s/he makes a bridge
aazhoge,vai,https://ojibwe.lib.umn.edu/main-entry/aazhoge-vai,s/he goes across water
aazhogebide,vii,https://ojibwe.lib.umn.edu/main-entry/aazhogebide-vii,skip
aazhogebizo,vai,https://ojibwe.lib.umn.edu/main-entry/aazhogebizo-vai,s/he drives across a bridge
aazhogedaabii'iwe,vai,https://ojibwe.lib.umn.edu/main-entry/aazhogedaabii-iwe-vai,s/he drives across a bridge
aazhoge'adoo,vai,https://ojibwe.lib.umn.edu/main-entry/aazhoge-adoo-vai,s/he walks across on a bridge
aazhogewidoon,vti2,https://ojibwe.lib.umn.edu/main-entry/aazhogewidoon-vti2,"carry, take it across"
aazhogewizh,vta,https://ojibwe.lib.umn.edu/main-entry/aazhogewizh-vta,"carry, take h/ across"
aazhooba'idiwag,vai,https://ojibwe.lib.umn.edu/main-entry/aazhooba-idiwag-vai,they run across together
aazhooba'iwe,vai,https://ojibwe.lib.umn.edu/main-entry/aazhooba-iwe-vai,s/he runs across in flight
aazhoobatoo,vai,https://ojibwe.lib.umn.edu/main-entry/aazhoobatoo-vai,s/he runs across
aazhoodaabii'iwe,vai,https://ojibwe.lib.umn.edu/main-entry/aazhoodaabii-iwe-vai,s/he drives across a bridge
aazhoogaadebi,vai,https://ojibwe.lib.umn.edu/main-entry/aazhoogaadebi-vai,s/he sits with legs crossed
aazhookana,adv-loc,https://ojibwe.lib.umn.edu/main-entry/aazhookana-adv-loc,skip
aazhookoodin,vta,https://ojibwe.lib.umn.edu/main-entry/aazhookoodin-vta,infect h/ with something
aazhoomon,vii,https://ojibwe.lib.umn.edu/main-entry/aazhoomon-vii,it is a crossroads
aazhooningwa'an,vti,https://ojibwe.lib.umn.edu/main-entry/aazhooningwa-an-vti,wear it across the shoulder
aazhooningwa'on,ni,https://ojibwe.lib.umn.edu/main-entry/aazhooningwa-on-ni,a bandolier bag
aazhooshkaa,vai,https://ojibwe.lib.umn.edu/main-entry/aazhooshkaa-vai,"s/he goes across, crosses"
ba-,pv-dir,https://ojibwe.lib.umn.edu/main-entry/ba-pv-dir,toward the speaker; this way; here; hither
babagiwayaan,ni,https://ojibwe.lib.umn.edu/main-entry/babagiwayaan-ni,"a shirt, (a piece of) cloth"
babagiwayaanegamig,ni,https://ojibwe.lib.umn.edu/main-entry/babagiwayaanegamig-ni,a tent
babagiwayaanegamigwegin,ni,https://ojibwe.lib.umn.edu/main-entry/babagiwayaanegamigwegin-ni,(a piece of) canvas
babagiwayaanekizin,ni,https://ojibwe.lib.umn.edu/main-entry/babagiwayaanekizin-ni,"a tennis shoe, a canvas shoe"
babagiwayaaniigin,ni,https://ojibwe.lib.umn.edu/main-entry/babagiwayaaniigin-ni,"(a piece of) cloth, a rag"
babanaadendam,vai2,https://ojibwe.lib.umn.edu/main-entry/babanaadendam-vai2,"s/he is discouraged, is in despair, thinks things hopeless"
babanaadendan,vti,https://ojibwe.lib.umn.edu/main-entry/babanaadendan-vti,"be discouraged about it, be in despair about it, think it is hopeless"
babanaadenim,vta,https://ojibwe.lib.umn.edu/main-entry/babanaadenim-vta,"be discouraged about h/, be in despair about h/, think h/ hopeless"
babanaadenimo,vai,https://ojibwe.lib.umn.edu/main-entry/babanaadenimo-vai,"s/he thinks h/self hopeless, has no faith in h/ self"
babazigwiiwag,vai,https://ojibwe.lib.umn.edu/main-entry/babazigwiiwag-vai,skip
babaa-,pv-dir,https://ojibwe.lib.umn.edu/main-entry/babaa-pv-dir,"going about, going around"
babaa-ayaa,vai,https://ojibwe.lib.umn.edu/main-entry/babaa-ayaa-vai,"s/he goes around, wanders about"
babaaganowe,vai,https://ojibwe.lib.umn.edu/main-entry/babaaganowe-vai,"s/he has h/ cheeks swell up, has swollen cheeks"
babaagidoone,vai,https://ojibwe.lib.umn.edu/main-entry/babaagidoone-vai,s/he has swollen lips
babaagidooskwane,vai,https://ojibwe.lib.umn.edu/main-entry/babaagidooskwane-vai,s/he has swollen elbows
babaagigaade,vai,https://ojibwe.lib.umn.edu/main-entry/babaagigaade-vai,s/he has swollen legs
babaagigidigwe,vai,https://ojibwe.lib.umn.edu/main-entry/babaagigidigwe-vai,s/he has swollen knees
babaaginike,vai,https://ojibwe.lib.umn.edu/main-entry/babaaginike-vai,s/he has swollen arms
babaagininjii,vai,https://ojibwe.lib.umn.edu/main-entry/babaagininjii-vai,s/he has swollen hands
babaaginiishkwe,vai,https://ojibwe.lib.umn.edu/main-entry/babaaginiishkwe-vai,s/he has swollen glands
babaagitawage,vai,https://ojibwe.lib.umn.edu/main-entry/babaagitawage-vai,s/he has swollen ears
babaagizide,vai,https://ojibwe.lib.umn.edu/main-entry/babaagizide-vai,s/he has swollen feet
babaamadaawangose,vai,https://ojibwe.lib.umn.edu/main-entry/babaamadaawangose-vai,s/he walks about on sand
babaamadaawe,vai,https://ojibwe.lib.umn.edu/main-entry/babaamadaawe-vai,s/he goes about trading
babaamadaawewinini,na,https://ojibwe.lib.umn.edu/main-entry/babaamadaawewinini-na,a peddlar
babaamademo,vai,https://ojibwe.lib.umn.edu/main-entry/babaamademo-vai,s/he goes about crying
babaamadewe,vai,https://ojibwe.lib.umn.edu/main-entry/babaamadewe-vai,"s/he goes, walks about on the snow crust"
babaama'adoo,vai,https://ojibwe.lib.umn.edu/main-entry/babaama-adoo-vai,s/he walks about on a road or trail
babaama'amaazo,vai,https://ojibwe.lib.umn.edu/main-entry/babaama-amaazo-vai,s/he goes about singing
babaama'azh,vta,https://ojibwe.lib.umn.edu/main-entry/babaama-azh-vta,track h/ about
babaama'oojige,vai,https://ojibwe.lib.umn.edu/main-entry/babaama-oojige-vai,"s/he transports something about (especially on the water), leads or tows something about on the water"
babaama'oozh,vta,https://ojibwe.lib.umn.edu/main-entry/babaama-oozh-vta,transport h/ around (especially by boat)
babaamakii'ige,vai,https://ojibwe.lib.umn.edu/main-entry/babaamakii-ige-vai,s/he poles a boat around
babaamakii'o,vai,https://ojibwe.lib.umn.edu/main-entry/babaamakii-o-vai,s/he poles a canoe around
babaamakwazhiwe,vai,https://ojibwe.lib.umn.edu/main-entry/babaamakwazhiwe-vai,s/he paddles around in a circle; it (animate) swims about (as a fish)
babaamanaandam,vai2,https://ojibwe.lib.umn.edu/main-entry/babaamanaandam-vai2,s/he goes about hungry
babaamanokii,vai,https://ojibwe.lib.umn.edu/main-entry/babaamanokii-vai,s/he works around
babaamanookii,vai,https://ojibwe.lib.umn.edu/main-entry/babaamanookii-vai,s/he goes around hiring people
babaamanoozo,vai,https://ojibwe.lib.umn.edu/main-entry/babaamanoozo-vai,s/he goes about smoking tobacco
babaamaabate,vii,https://ojibwe.lib.umn.edu/main-entry/babaamaabate-vii,it (smoke) goes about
babaamaabiigin,vta,https://ojibwe.lib.umn.edu/main-entry/babaamaabiigin-vta,lead h/ around on a leash or line
babaamaaboode,vii,https://ojibwe.lib.umn.edu/main-entry/babaamaaboode-vii,it drifts about on the current
babaamaaboozo,vai,https://ojibwe.lib.umn.edu/main-entry/babaamaaboozo-vai,s/he or it (animate) drifts about on the current
babaamaadaga'oodoon,vti,https://ojibwe.lib.umn.edu/main-entry/babaamaadaga-oodoon-vti,"pull, tow it about through the water"
babaamaadagaa,vai,https://ojibwe.lib.umn.edu/main-entry/babaamaadagaa-vai,s/he swims about
babaamaadagaako,vai,https://ojibwe.lib.umn.edu/main-entry/babaamaadagaako-vai,s/he goes about on the ice
babaamaadagaakobatoo,vai,https://ojibwe.lib.umn.edu/main-entry/babaamaadagaakobatoo-vai,"s/he runs about on the ice, around on the ice"
babaamaadagaazii,vai,https://ojibwe.lib.umn.edu/main-entry/babaamaadagaazii-vai,s/he wades about
babaamaadage,vai,https://ojibwe.lib.umn.edu/main-entry/babaamaadage-vai,s/he swims about
babaamaada'e,vai,https://ojibwe.lib.umn.edu/main-entry/babaamaada-e-vai,s/he skates about
babaamaada'ookii,vai,https://ojibwe.lib.umn.edu/main-entry/babaamaada-ookii-vai,"s/he distributes things around, passes things around"
babaamaadizi,vai,https://ojibwe.lib.umn.edu/main-entry/babaamaadizi-vai,s/he lives about; s/he travels about
babaamaadizii-makak,ni,https://ojibwe.lib.umn.edu/main-entry/babaamaadizii-makak-ni,a suitcase
babaamaagime,vai,https://ojibwe.lib.umn.edu/main-entry/babaamaagime-vai,s/he snowshoes about
babaamaagimebatoo,vai,https://ojibwe.lib.umn.edu/main-entry/babaamaagimebatoo-vai,s/he runs about in snowshoes
babaamaagimose,vai,https://ojibwe.lib.umn.edu/main-entry/babaamaagimose-vai,s/he snowshoes about
babaamaagiwebishkige,vai,https://ojibwe.lib.umn.edu/main-entry/babaamaagiwebishkige-vai,"s/he bicycles about or around, rides about or around on a bicycle"
babaamaagonagii,vai,https://ojibwe.lib.umn.edu/main-entry/babaamaagonagii-vai,s/he goes about in the snow
babaamaagone,vai,https://ojibwe.lib.umn.edu/main-entry/babaamaagone-vai,s/he goes around through the snow
babaamaagonebizo,vai,https://ojibwe.lib.umn.edu/main-entry/babaamaagonebizo-vai,s/he drives around in the snow
babaamaa'ago,vai,https://ojibwe.lib.umn.edu/main-entry/babaamaa-ago-vai,s/he or it (animate) drifts about or around on the waves
babaamaa'an,vii,https://ojibwe.lib.umn.edu/main-entry/babaamaa-an-vii,it drifts about or around on the waves
babaamaa'ogo,vai,https://ojibwe.lib.umn.edu/main-entry/babaamaa-ogo-vai,s/he or it (animate) drifts about or around on the waves
babaamaajimo,vai,https://ojibwe.lib.umn.edu/main-entry/babaamaajimo-vai,s/he spreads the news about
babaamaajimoo-mazina'igan,ni,https://ojibwe.lib.umn.edu/main-entry/babaamaajimoo-mazina-igan-ni,a newspaper
babaamaakwii,vai,https://ojibwe.lib.umn.edu/main-entry/babaamaakwii-vai,s/he goes about in the woods
babaamaanakwad,vii,https://ojibwe.lib.umn.edu/main-entry/babaamaanakwad-vii,clouds go about
babaamaandawaadan,vti,https://ojibwe.lib.umn.edu/main-entry/babaamaandawaadan-vti,climb about on it
babaamaandawaazh,vta,https://ojibwe.lib.umn.edu/main-entry/babaamaandawaazh-vta,climb about on h/
babaamaandawe,vai,https://ojibwe.lib.umn.edu/main-entry/babaamaandawe-vai,s/he climbs about
babaamaandawebatoo,vai,https://ojibwe.lib.umn.edu/main-entry/babaamaandawebatoo-vai,s/he climbs around quickly
babaamaanimizi,vai,https://ojibwe.lib.umn.edu/main-entry/babaamaanimizi-vai,s/he goes about in fear
babaamaapi,vai,https://ojibwe.lib.umn.edu/main-entry/babaamaapi-vai,s/he goes around laughing
babaamaasin,vii,https://ojibwe.lib.umn.edu/main-entry/babaamaasin-vii,"it is blown about (by the wind); it sails, soars about"
babaamaashi,vai,https://ojibwe.lib.umn.edu/main-entry/babaamaashi-vai,"s/he is blown about (by the wind); sails, soars about"
babaamaashiiwinini,na,https://ojibwe.lib.umn.edu/main-entry/babaamaashiiwinini-na,a sailor
babaamaawadoon,vti2,https://ojibwe.lib.umn.edu/main-entry/babaamaawadoon-vti2,haul it about
babaamaawanidiwag,vai,https://ojibwe.lib.umn.edu/main-entry/babaamaawanidiwag-vai,s/he travels around in a group
babaamaawazh,vta,https://ojibwe.lib.umn.edu/main-entry/babaamaawazh-vta,haul h/ around; guide h/ around
babaamaazhagaame,vai,https://ojibwe.lib.umn.edu/main-entry/babaamaazhagaame-vai,s/he goes around on the shore
babaamaazakonenjige,vai,https://ojibwe.lib.umn.edu/main-entry/babaamaazakonenjige-vai,s/he goes about with a light
babaamendam,vai2,https://ojibwe.lib.umn.edu/main-entry/babaamendam-vai2,"s/he pays attention, worries"
babaamendan,vti,https://ojibwe.lib.umn.edu/main-entry/babaamendan-vti,"pay attention to, be preoccupied with, worry about, bother it"
babaamenim,vta,https://ojibwe.lib.umn.edu/main-entry/babaamenim-vta,"pay attention to, worry about, be preoccupied with, bother h/"
babaamiba'idiwag,vai,https://ojibwe.lib.umn.edu/main-entry/babaamiba-idiwag-vai,"they run about together, run around together"
babaamiba'igo,vai,https://ojibwe.lib.umn.edu/main-entry/babaamiba-igo-vai,"s/he rides about, drives about (drawn by horse or dog)"
babaamibatoo,vai,https://ojibwe.lib.umn.edu/main-entry/babaamibatoo-vai,"s/he runs about, runs around"
babaamibatwaadan,vti,https://ojibwe.lib.umn.edu/main-entry/babaamibatwaadan-vti,"run about, run around with it"
babaamibatwaazh,vta,https://ojibwe.lib.umn.edu/main-entry/babaamibatwaazh-vta,"run about, run around with h/"
babaamibide,vii,https://ojibwe.lib.umn.edu/main-entry/babaamibide-vii,"it speeds about, drives about, flies about"
babaamibizo,vai,https://ojibwe.lib.umn.edu/main-entry/babaamibizo-vai,"s/he speeds about, drives about, flies about"
babaamibizo',vta,https://ojibwe.lib.umn.edu/main-entry/babaamibizo-vta,"drive h/, it (animate) about"
babaamibizoni',vta,https://ojibwe.lib.umn.edu/main-entry/babaamibizoni-vta,drive h/ around
babaamibizonitoon,vti2,https://ojibwe.lib.umn.edu/main-entry/babaamibizonitoon-vti2,drive it about
babaamibizotoon,vti2,https://ojibwe.lib.umn.edu/main-entry/babaamibizotoon-vti2,drive it about
babaamibiisaa,vii,https://ojibwe.lib.umn.edu/main-entry/babaamibiisaa-vii,rain goes about
babaamidaabaadan,vti,https://ojibwe.lib.umn.edu/main-entry/babaamidaabaadan-vti,"drag, pull it about"
babaamidaabaade,vii,https://ojibwe.lib.umn.edu/main-entry/babaamidaabaade-vii,"it is pulled, pushed, or dragged about (on something)"
babaamidaabaazh,vta,https://ojibwe.lib.umn.edu/main-entry/babaamidaabaazh-vta,"drag, pull h/ about"
babaamidaabaazo,vai,https://ojibwe.lib.umn.edu/main-entry/babaamidaabaazo-vai,"s/he is pulled, pushed, or dragged about (on something)"
babaamidaabii,vai,https://ojibwe.lib.umn.edu/main-entry/babaamidaabii-vai,"s/he drags, pulls a load about"
babaamidaabii'iwe,vai,https://ojibwe.lib.umn.edu/main-entry/babaamidaabii-iwe-vai,s/he drives about
babaamigamigwe,vai,https://ojibwe.lib.umn.edu/main-entry/babaamigamigwe-vai,s/he wanders around the community visitiing
babaamigidaazo,vai,https://ojibwe.lib.umn.edu/main-entry/babaamigidaazo-vai,"s/he goes about angry, goes about mad"
babaamigozi,vai,https://ojibwe.lib.umn.edu/main-entry/babaamigozi-vai,s/he moves h/ residence about
babaamikawe,vai,https://ojibwe.lib.umn.edu/main-entry/babaamikawe-vai,s/he leaves tracks going about
babaaminigaadan,vti,https://ojibwe.lib.umn.edu/main-entry/babaaminigaadan-vti,carry it around on the shoulder
babaaminigaazh,vta,https://ojibwe.lib.umn.edu/main-entry/babaaminigaazh-vta,carry h/ about on the shoulder
babaaminige,vai,https://ojibwe.lib.umn.edu/main-entry/babaaminige-vai,s/he carries about on the shoulder
babaaminizha',vta,https://ojibwe.lib.umn.edu/main-entry/babaaminizha-vta,chase h/ about
babaaminizha'an,vti,https://ojibwe.lib.umn.edu/main-entry/babaaminizha-an-vti,chase it about
babaaminizha'ige,vai,https://ojibwe.lib.umn.edu/main-entry/babaaminizha-ige-vai,s/he chases things about
babaaminizhikaw,vta,https://ojibwe.lib.umn.edu/main-entry/babaaminizhikaw-vta,chase h/ about
babaaminizhikaage,vai,https://ojibwe.lib.umn.edu/main-entry/babaaminizhikaage-vai,s/he chases people about
babaaminizhikodaadiwag,vai,https://ojibwe.lib.umn.edu/main-entry/babaaminizhikodaadiwag-vai,they chase each other about
babaaminizhimo,vai,https://ojibwe.lib.umn.edu/main-entry/babaaminizhimo-vai,"s/he goes around in flight, runs around in fear"
babaamipon,vii,https://ojibwe.lib.umn.edu/main-entry/babaamipon-vii,snow goes about
babaamise,vai,https://ojibwe.lib.umn.edu/main-entry/babaamise-vai,s/he flies about
babaamise,vii,https://ojibwe.lib.umn.edu/main-entry/babaamise-vii,it flies about
babaamishimo,vai,https://ojibwe.lib.umn.edu/main-entry/babaamishimo-vai,s/he dances about
babaamishkaa,vai,https://ojibwe.lib.umn.edu/main-entry/babaamishkaa-vai,"s/he paddles about,  goes about in a boat"
babaamiwane,vai,https://ojibwe.lib.umn.edu/main-entry/babaamiwane-vai,s/he carries a pack about
babaamiweba'an,vti,https://ojibwe.lib.umn.edu/main-entry/babaamiweba-an-vti,"shove, knock it around (using something)"
babaamiweba'igan,ni,https://ojibwe.lib.umn.edu/main-entry/babaamiweba-igan-ni,a hockey puck
babaamiweba'igaade,vii,https://ojibwe.lib.umn.edu/main-entry/babaamiweba-igaade-vii,
babaamiwebishkan,vti,https://ojibwe.lib.umn.edu/main-entry/babaamiwebishkan-vti,"kick it about, shoves it about"
babaamiwebishkige,vai,https://ojibwe.lib.umn.edu/main-entry/babaamiwebishkige-vai,s/he kicks something about; s/he plays soccer
babaamiwidoon,vti2,https://ojibwe.lib.umn.edu/main-entry/babaamiwidoon-vti2,"take, carry it about"
babaamiwijigaade,vii,https://ojibwe.lib.umn.edu/main-entry/babaamiwijigaade-vii,"it is carried, taken around (by someone), ""they"" carry, take it about"
babaamiwizh,vta,https://ojibwe.lib.umn.edu/main-entry/babaamiwizh-vta,"take, carry, guide h/ about"
babaamizi,vai,https://ojibwe.lib.umn.edu/main-entry/babaamizi-vai,"s/he does business, goes about on his business"
babaamiziwin,ni,https://ojibwe.lib.umn.edu/main-entry/babaamiziwin-ni,business; responsibility
babaamizii-mashkimod,ni,https://ojibwe.lib.umn.edu/main-entry/babaamizii-mashkimod-ni,a briefcase
babaamiziiwayaan,ni,https://ojibwe.lib.umn.edu/main-entry/babaamiziiwayaan-ni,a business suit
babaamiziiwinini,na,https://ojibwe.lib.umn.edu/main-entry/babaamiziiwinini-na,a businessman
babaamose,vai,https://ojibwe.lib.umn.edu/main-entry/babaamose-vai,"s/he walks about, takes a stroll"
babaamoode,vai,https://ojibwe.lib.umn.edu/main-entry/babaamoode-vai,"s/he crawls about, crawls around"
babaamoodebatoo,vai,https://ojibwe.lib.umn.edu/main-entry/babaamoodebatoo-vai,s/he crawls about fast
babaamoom,vta,https://ojibwe.lib.umn.edu/main-entry/babaamoom-vta,carry h/ about on h/ back
babaamoomaawaso,vai,https://ojibwe.lib.umn.edu/main-entry/babaamoomaawaso-vai,s/he carries a baby around on h/ back
babaamoomigo,vai,https://ojibwe.lib.umn.edu/main-entry/babaamoomigo-vai,s/he rides about on horseback
babaamoondan,vti,https://ojibwe.lib.umn.edu/main-entry/babaamoondan-vti,carry it about on h/ back
babaamweweba'idiwag,vai,https://ojibwe.lib.umn.edu/main-entry/babaamweweba-idiwag-vai,they are heard running about together
babaamwewebatoo,vai,https://ojibwe.lib.umn.edu/main-entry/babaamwewebatoo-vai,"s/he is heard running about, heard running around"
babaamwewebizo,vai,https://ojibwe.lib.umn.edu/main-entry/babaamwewebizo-vai,"s/he is heard speeding, driving, flying about"
babaamwewesagibatoo,vai,https://ojibwe.lib.umn.edu/main-entry/babaamwewesagibatoo-vai,s/he is heard running around on the floor
babaamwewesagidaabii,vai,https://ojibwe.lib.umn.edu/main-entry/babaamwewesagidaabii-vai,"s/he, it (animate) is heard dragging something around on the floor"
babaamweweshin,vai,https://ojibwe.lib.umn.edu/main-entry/babaamweweshin-vai,s/he is heard walking about
babaamweweyaadagaa,vai,https://ojibwe.lib.umn.edu/main-entry/babaamweweyaadagaa-vai,s/he is heard swimming about
babaamweweyaadagaako,vai,https://ojibwe.lib.umn.edu/main-entry/babaamweweyaadagaako-vai,s/he is heard going about on the ice
babaamweweyaadagaazii,vai,https://ojibwe.lib.umn.edu/main-entry/babaamweweyaadagaazii-vai,s/he is heard wading around
babaamweweyaadage,vai,https://ojibwe.lib.umn.edu/main-entry/babaamweweyaadage-vai,s/he is heard swimming about
babaamweweyaashi,vai,https://ojibwe.lib.umn.edu/main-entry/babaamweweyaashi-vai,"s/he is heard flying, soaring, sailing about"
babegikaadad,vii,https://ojibwe.lib.umn.edu/main-entry/babegikaadad-vii,it is slow
babegikaadawinzo,vai,https://ojibwe.lib.umn.edu/main-entry/babegikaadawinzo-vai,s/he picks berries slowly
babegikaadaanagidoone,vai,https://ojibwe.lib.umn.edu/main-entry/babegikaadaanagidoone-vai,s/he talks slow
babegikaadendam,vai2,https://ojibwe.lib.umn.edu/main-entry/babegikaadendam-vai2,"s/he thinks slowly, is slow in mental activity"
babegikaadizi,vai,https://ojibwe.lib.umn.edu/main-entry/babegikaadizi-vai,s/he is real slow; s/he is pokey
babenag,adv-tmp,https://ojibwe.lib.umn.edu/main-entry/babenag-adv-tmp,"a little better, a little more, improving"
babig,na,https://ojibwe.lib.umn.edu/main-entry/babig-na,a flea
babigozigwaa,vii,https://ojibwe.lib.umn.edu/main-entry/babigozigwaa-vii,there is bumpy ice
babigwan,ni,https://ojibwe.lib.umn.edu/main-entry/babigwan-ni,a flute
babigwanagekozi,vai,https://ojibwe.lib.umn.edu/main-entry/babigwanagekozi-vai,it (animate) has rough bunpy  bark
babigwanagekwad,vii,https://ojibwe.lib.umn.edu/main-entry/babigwanagekwad-vii,it has rough bumpy bark
babigwanwi,ni,https://ojibwe.lib.umn.edu/main-entry/babigwanwi-ni,marked shot of moccasin game
babigwaabikad,vii,https://ojibwe.lib.umn.edu/main-entry/babigwaabikad-vii,"it (mineral) is bumpy, is lumpy"
babigwaabikizi,vai,https://ojibwe.lib.umn.edu/main-entry/babigwaabikizi-vai,"it (animate; mineral) is bumpy, is lumpy"
babigwaagamin,vii,https://ojibwe.lib.umn.edu/main-entry/babigwaagamin-vii,it (a liquid) is lumpy
babigwegad,vii,https://ojibwe.lib.umn.edu/main-entry/babigwegad-vii,"it (sheet-like) is bumpy, is lumpy"
babigwegizi,vai,https://ojibwe.lib.umn.edu/main-entry/babigwegizi-vai,"it (animate; sheet-like) is bumpy, is lumpy"
babigweyaa,vii,https://ojibwe.lib.umn.edu/main-entry/babigweyaa-vii,
babima'adoo,vai,https://ojibwe.lib.umn.edu/main-entry/babima-adoo-vai,s/he keeps following a trail along
babima'azh,vta,https://ojibwe.lib.umn.edu/main-entry/babima-azh-vta,"keep tracking h/ along, keep following h/ trail along"
babimaadagaa,vai,https://ojibwe.lib.umn.edu/main-entry/babimaadagaa-vai,s/he swims around here and there
babimaadizi,vai,https://ojibwe.lib.umn.edu/main-entry/babimaadizi-vai,s/he keeps living
babimaazhagaame,vai,https://ojibwe.lib.umn.edu/main-entry/babimaazhagaame-vai,s/he goes along on the shore or edge of something
babimibiisaa,vii,https://ojibwe.lib.umn.edu/main-entry/babimibiisaa-vii,"rain keeps going along, rain squalls pass by"
babimishkaa,vai,https://ojibwe.lib.umn.edu/main-entry/babimishkaa-vai,
babimose,vai,https://ojibwe.lib.umn.edu/main-entry/babimose-vai,"s/he walks about, takes a stroll"
babimoode,vai,https://ojibwe.lib.umn.edu/main-entry/babimoode-vai,s/he crawls about here and there
babizindam,vai2,https://ojibwe.lib.umn.edu/main-entry/babizindam-vai2,"s/he keeps listening, listens off and on"
babizindaw,vta,https://ojibwe.lib.umn.edu/main-entry/babizindaw-vta,listen to h/ paying close attention
babizindaadiwag,vai,https://ojibwe.lib.umn.edu/main-entry/babizindaadiwag-vai,they keep listening to each other
babizowebishkan,vti,https://ojibwe.lib.umn.edu/main-entry/babizowebishkan-vti,keep tripping on it
babiichii,vai,https://ojibwe.lib.umn.edu/main-entry/babiichii-vai,s/he puts on h/ moccasins or shoes
babiikoga'waan,na,https://ojibwe.lib.umn.edu/main-entry/babiikoga-waan-na,a sleigh with runners
babiikwadamon,vii,https://ojibwe.lib.umn.edu/main-entry/babiikwadamon-vii,it is a bumpy road
babiikwadaasin,vii,https://ojibwe.lib.umn.edu/main-entry/babiikwadaasin-vii,there are snow drifts
babiikwadaawangaa,vii,https://ojibwe.lib.umn.edu/main-entry/babiikwadaawangaa-vii,there are sand dunes
babiikwadaawangaa'an,vii,https://ojibwe.lib.umn.edu/main-entry/babiikwadaawangaa-an-vii,there are sand dunes formed by waves
babiikwadaawangaasin,vii,https://ojibwe.lib.umn.edu/main-entry/babiikwadaawangaasin-vii,there are sand dunes
babiikwadinaa,vii,https://ojibwe.lib.umn.edu/main-entry/babiikwadinaa-vii,there are hills here and there
babiikwakamigaa,vii,https://ojibwe.lib.umn.edu/main-entry/babiikwakamigaa-vii,"it is rolling ground, bumpy ground"
babiikwasin,na,https://ojibwe.lib.umn.edu/main-entry/babiikwasin-na,a boulder
babiikwashkiigaa,vii,https://ojibwe.lib.umn.edu/main-entry/babiikwashkiigaa-vii,it is a hummocky musekg
babiikwashkoozo,vai,https://ojibwe.lib.umn.edu/main-entry/babiikwashkoozo-vai,it (a net) knots up
babiikwaabiigad,vii,https://ojibwe.lib.umn.edu/main-entry/babiikwaabiigad-vii,"it (string-like) has knots, has lumps on it"
babiikwaabiigizi,vai,https://ojibwe.lib.umn.edu/main-entry/babiikwaabiigizi-vai,"it (animate; string-like) has knots, has lumps on it"
babiikwaadigose,vii,https://ojibwe.lib.umn.edu/main-entry/babiikwaadigose-vii,there are riffles (ruffles) in the flowing water
babiikwaakoninjiini,vai,https://ojibwe.lib.umn.edu/main-entry/babiikwaakoninjiini-vai,
babiikwaakwadwaagonagin,vta,https://ojibwe.lib.umn.edu/main-entry/babiikwaakwadwaagonagin-vta,make h/ (snow) into snowballs
babiikwaanakwad,vii,https://ojibwe.lib.umn.edu/main-entry/babiikwaanakwad-vii,it is a cumulus cloud
babiikwaanakwad,vii,https://ojibwe.lib.umn.edu/main-entry/babiikwaanakwad-vii,it is a cumulus cloud
babiikwaanaamikaa,vii,https://ojibwe.lib.umn.edu/main-entry/babiikwaanaamikaa-vii,the bottom (of a body of water) is rough and bumpy
